fund_name,horizon,cagr,volatility,sharpe
DSP Midcap Fund,Since Inception,0.17797945627483003,0.13266877523559023,0.85
DSP Midcap Fund,1Y,0.060377573141365604,0.13342222829388847,-0.03
DSP Midcap Fund,3Y,0.20963269060654044,0.11694501395586844,1.24
DSP Midcap Fund,5Y,0.20718232648382884,0.12184805566569848,1.17
DSP Midcap Fund,10Y,0.1620820700736143,0.1284703396860627,0.76
HDFC Corporate Bond Fund,Since Inception,0.08147770931443254,0.014678813326211708,1.12
HDFC Corporate Bond Fund,1Y,0.08166927570539495,0.010154117073256187,1.64
HDFC Corporate Bond Fund,3Y,0.08209539299448676,0.0077045086330428045,2.22
HDFC Corporate Bond Fund,5Y,0.06488670104575966,0.00920795751649657,-0.01
HDFC Corporate Bond Fund,10Y,0.07833707757032737,0.013826056471580344,0.96
HDFC Large and Mid Cap Fund,Since Inception,0.14254321354754862,0.13748730564229544,0.56
HDFC Large and Mid Cap Fund,1Y,0.0706099176409607,0.1200700280836437,0.05
HDFC Large and Mid Cap Fund,3Y,0.22459225124422932,0.1111829580998317,1.44
HDFC Large and Mid Cap Fund,5Y,0.2805057226294527,0.1254636272995799,1.72
HDFC Large and Mid Cap Fund,10Y,0.15662080794197508,0.1379177159613868,0.66
ICICI Prudential Balanced Advantage Fund,Since Inception,0.13260163465554475,0.0735528224745417,0.92
ICICI Prudential Balanced Advantage Fund,1Y,0.10984750581545621,0.049736947974498485,0.9
ICICI Prudential Balanced Advantage Fund,3Y,0.1431726712529422,0.04365868534994968,1.79
ICICI Prudential Balanced Advantage Fund,5Y,0.1557502914250406,0.04775123492175365,1.9
ICICI Prudential Balanced Advantage Fund,10Y,0.12257093940114139,0.07394158948821844,0.78
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),Since Inception,0.16087330189228788,0.1260193811974752,0.76
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),1Y,0.08140032525892327,0.09694312146371732,0.17
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),3Y,0.1932619499278334,0.09296169724309762,1.38
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),5Y,0.23028788665933186,0.10859816746530132,1.52
ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),10Y,0.15662530242013295,0.12668757189249266,0.72
Nippon India Small Cap Fund,Since Inception,0.25045918057138783,0.142982432306272,1.3
Nippon India Small Cap Fund,1Y,0.0029202045802412258,0.1394062461910266,-0.45
Nippon India Small Cap Fund,3Y,0.2442365457745781,0.12597273555819358,1.42
Nippon India Small Cap Fund,5Y,0.3414288583796432,0.13605675216699153,2.03
Nippon India Small Cap Fund,10Y,0.21675903852878253,0.14511814527097855,1.05
SBI Large & Midcap Fund,Since Inception,0.17414256078810797,0.1241767059376258,0.88
SBI Large & Midcap Fund,1Y,0.08097379238868663,0.10389326342131684,0.15
SBI Large & Midcap Fund,3Y,0.18299226730085194,0.0937133956587672,1.26
SBI Large & Midcap Fund,5Y,0.25019749564302884,0.10714107080226315,1.73
SBI Large & Midcap Fund,10Y,0.16028796676390322,0.12375216636698924,0.77
UTI Nifty 50 Index Fund,Since Inception,0.1313261642508745,0.13289448461001527,0.5
UTI Nifty 50 Index Fund,1Y,0.07615774582582246,0.10401210983806387,0.11
UTI Nifty 50 Index Fund,3Y,0.14614737101330322,0.09954735445724133,0.82
UTI Nifty 50 Index Fund,5Y,0.1855906507578331,0.11648508518729074,1.04
UTI Nifty 50 Index Fund,10Y,0.1345774313757535,0.13345721374867628,0.52
